ref	old	new
refs/heads/integration/4.0-governed-adaptive-crew	b9d8040490ada99ede0c47de9f9f5c7248ac9381	cd399b210e872265e1a063ddeecae497f8c4fd58
refs/heads/integration/4.5-minicpm-qualification-closure-20260912	3bb8e316bd66a01542621154586c7ae3a9094339	654569d86d75ed8f1de720d1ca9ba466df5cf4b8
refs/heads/integration/openvoice-v2-governed-20260826	1a2031726dfc3c70db22bddce4f2a08c56a557ef	1a2031726dfc3c70db22bddce4f2a08c56a557ef
refs/heads/main	2e74d88db57e3ad15ce1d85ec93220d087b9592f	4f54031d88587ec4eb70072559d8bf54f56f91ec
refs/heads/qualification/3.9-nvidia-routing-admission-release	aa33b3308e5950478a5341b4ac904b2b0902a886	db258d35823c35bb8f71ce1544681400ce59ff47
refs/heads/qualification/4.3-luna-sol-baton-20260910	9808995bd990638562170bc84db11cffee423015	8ef6e5e192a7c36c2cc273d2ed824c8b0287f2f2
refs/heads/qualification/4.3-luna-sol-baton-human-poe-20260910	6104c59cb693c6b0879fcead97a4ecfb6dce68f0	eb9f413d01337ccf48191fe94e46bee08230217e
refs/heads/qualification/4.3-parallel-lanes-consensus-20260910	fcb4127d049408af2177c1e5104b638160933e7e	5fbb2ad830fd84d72f371c2403ababa45d4a3c91
refs/heads/qualification/pixel-gemma4-20260908	07485edd14c29b7543306d40badc23590d84ba28	0378b261949d589f071cc3c66a426b901af07af3
refs/heads/release/2.0.0-pixel-alpha	57dfdbb6846e4bf84cf0cf44be11ca09064df4b1	57dfdbb6846e4bf84cf0cf44be11ca09064df4b1
refs/heads/release/3.0.1-infrastructure-agnostic	6680b72d96ad7469bf6054343a22a55cc9b47bf6	6680b72d96ad7469bf6054343a22a55cc9b47bf6
refs/heads/release/3.1.0-control-plane-dashboard	1866f049d79e6cae4f83d3f7fb82fc02c88b13c8	1866f049d79e6cae4f83d3f7fb82fc02c88b13c8
refs/heads/release/3.2.0	beed6ee95453ef8505b4c14d224c53262e33a7b4	beed6ee95453ef8505b4c14d224c53262e33a7b4
refs/heads/release/3.2.1	99db684e1dfadb7b7137e3a88777b4e17c54cd24	99db684e1dfadb7b7137e3a88777b4e17c54cd24
refs/heads/release/3.7.0-integration-20260903	41ae59c6bd0e0228e419a91959efe7130fe086f2	41ae59c6bd0e0228e419a91959efe7130fe086f2
refs/heads/release/3.8.0-integration-20260903	09ac94a3a818b08ecd49beb87ea6acb383e425b4	09ac94a3a818b08ecd49beb87ea6acb383e425b4
refs/heads/release/3.9.0-determinism-test-fix	4339c13929f2777f8c19724e39c4da382d941c1a	50d4474656e4711b1983b58eba9b7502453206b4
refs/heads/release/3.9.0-install-doc-fix	9f954f41a4ca2a3c47648fe67e03f1378aea33d4	f967517575d3d85ac497e8e8b0f5618619d2bfc6
refs/heads/release/4.3.0-integration-20260909	9038a6eefacad0df7a32903ed2cf6112b0e807d9	5aa26f8e47b2b9becadb3c67b9b4099745dbc613
refs/heads/research/orca-hybrid-integration-20260823	93c0e79e981710a0fa18a41e701b59164ce7bb52	93c0e79e981710a0fa18a41e701b59164ce7bb52
refs/tags/v3.0.0	bed3e39372337e76c37144336353f231d3104839	bed3e39372337e76c37144336353f231d3104839
refs/tags/v3.0.1	6012b08396cf8f067571184848a24556a03508fe	6012b08396cf8f067571184848a24556a03508fe
refs/tags/v3.1.0	12e4f568231dda2fca04ec065ef913116ffa9315	12e4f568231dda2fca04ec065ef913116ffa9315
refs/tags/v3.2.0	682d2a723738759600b9d7263089145ba9cc6555	682d2a723738759600b9d7263089145ba9cc6555
refs/tags/v3.2.1	4243b9667eb98ab998d4016fd9072ee9ff6e72fd	4243b9667eb98ab998d4016fd9072ee9ff6e72fd
refs/tags/v3.3.0	306b631ba341b87f70c4c56b6cd903ec27a481c7	306b631ba341b87f70c4c56b6cd903ec27a481c7
refs/tags/v3.3.1	5625395170da9fa02a581e2544713c22ca0657d1	5625395170da9fa02a581e2544713c22ca0657d1
refs/tags/v3.4.0	fb9ee7edf7272a1aacafa60e60b29dea1414f3ca	fb9ee7edf7272a1aacafa60e60b29dea1414f3ca
refs/tags/v3.5.0	5178fc8f3f33b0da6466897f73dbeecde264d7ec	5178fc8f3f33b0da6466897f73dbeecde264d7ec
refs/tags/v3.7.0	725fa6569c69f2d78c5cd9867ee7ed03c6d09163	725fa6569c69f2d78c5cd9867ee7ed03c6d09163
refs/tags/v3.8.0	5ecb588a34ad476d915bc7450fbcebb6bd32875f	5ecb588a34ad476d915bc7450fbcebb6bd32875f
refs/tags/v3.8.1	91fa7b34bffd1d71144ab0cd8ceb62491556e575	91fa7b34bffd1d71144ab0cd8ceb62491556e575
refs/tags/v3.8.2	76cbc22bb668b7236714734b896ad048f7dd0d1d	76cbc22bb668b7236714734b896ad048f7dd0d1d
refs/tags/v3.9.0	9b1bb9a77702651053f1d209577c6c3eba6e7828	ef096550534c05e97ee823011d04e33226e6fa6e
refs/tags/v4.0.0	28083f1bc77af9699efc321814f0d033bf7ad0cd	b2bea22159229f4f753b0be2a896024d51405e6f
refs/tags/v4.1.0	857445551042d3edfb6a61b934d4db1065a542d7	aa2ac901ba114b51dacf325f7976c4d7e6336e83
refs/tags/v4.3.0	943af81e2953d3d304fc1bdf036bbb52faac3c97	0ab754b92febceb929781d0814df11ef335b4fb7
refs/tags/v4.4.0	c176a9b7857dd160396592d98f3f2d340ca86c2a	f73b30baa1ee8bc14416e7846c37ec9a4595c85e
